Start of file
"ID";"Name";"PostNumber";"PhoneNumber"
"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c71";"Кличко В. А.";"12312";"8-916-434-34-22     "
"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c72";"Петренко А. Н.";"345234";"8-234-534-24-23     "
"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c73";"Радужный О. И.";"3455";"8-345-666-43-23     "
"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c74";"Кабанов Л. А.";"23245";""
"ed6fbe06-54b0-4c9c-acc4-0ba6c12f4c75";"Мутко К. Я.";"23532";"8-983-234-23-23     "
"406d251a-1138-4fcd-bed7-188a229bfa76";"Андреев Семен Макарович";"23223";"123-123-123         "
"0b0f2389-95f8-4a82-ad96-4b582b411a89";"Лященко Катерина Перовна";"123544";"8-499-222-32-32     "
"66f00973-a163-4fc5-9d6e-57da87a5bfa2";"Смирнов Олег Олегович";"23342";"1575919             "
"94bb78d8-8395-459a-9ff4-80812168425a";"Короблев Валя";"234234";"234234              "
"10361f4f-6ebd-4d7e-a355-aa778b8be47d";"Корнелиус";"123123";"                    "
"2aa34f38-32e0-40ac-8bce-ee773954f779";"Гриб Екатерина Сергеевна";"9876";"157-23-62           "
End of file
